x_coord,y_coord,presence,elevation,slope,aspect
937062.8596842304,-2602304.8074159897,1,113.80469,12.086203,229.21526
-975330.0609454784,-2762410.0157778,1,524.9946,23.021828,28.830984
-975330.0609454784,-2762410.0157778,1,524.9946,23.021828,28.830984
-975330.0609454784,-2762410.0157778,1,524.9946,23.021828,28.830984
-1131975.559232441,-2573076.305724477,1,537.42487,18.381567,0.39201626
-1131975.559232441,-2573076.305724477,1,537.42487,18.381567,0.39201626
-1131975.559232441,-2573076.305724477,1,537.42487,18.381567,0.39201626
-1131975.559232441,-2573076.305724477,1,537.42487,18.381567,0.39201626
-1131975.559232441,-2573076.305724477,1,537.42487,18.381567,0.39201626
-1131975.559232441,-2573076.305724477,1,537.42487,18.381567,0.39201626
314013.69121397694,-3550748.4808544316,1,275.01102,73.83455,60.018383
512910.367945574,-3165248.5656896145,1,-13.453884,1.5904627,202.30106
314013.69121397694,-3550748.4808544316,1,275.01102,73.83455,60.018383
784146.8951323985,-2457619.8689500564,1,203.49437,37.20215,80.18922
371637.66518534045,-3586324.52514747,1,223.00276,54.230064,286.70526
371637.66518534045,-3586324.52514747,1,223.00276,54.230064,286.70526
-1131975.559232441,-2573076.305724477,1,537.42487,18.381567,0.39201626
-1025799.7878533546,-2878868.5282584927,1,509.04572,14.718246,141.9655
-1013248.2126885187,-2911605.040328944,1,482.93234,5.243691,110.46574
-1013248.2126885187,-2911605.040328944,1,482.93234,5.243691,110.46574
-1013248.2126885187,-2911605.040328944,1,482.93234,5.243691,110.46574
577351.7902298127,-3498702.664908982,1,164.90936,56.60276,272.33078
732608.5516573269,-3031870.096392021,1,24.974318,8.728388,123.740906
983907.8659609084,-3442218.309158285,1,232.91359,33.67312,127.29782
1158970.3311922713,-3759096.361457581,1,86.088585,3.6216257,9.2507105
419386.1501012909,-3550639.5857594186,1,186.19197,32.84865,49.048916
-1231191.2802429092,-2807196.1514545702,1,611.81067,37.42833,311.96793
-1406606.4946713832,-2667717.42584681,1,364.22525,79.22395,6.736708
-1202554.6054008075,-2793181.745205973,1,583.80597,11.221723,111.42254
803386.582585919,-2952612.4129776494,1,34.35105,39.44875,334.26306
-1202554.6054008075,-2793181.745205973,1,583.80597,11.221723,111.42254
-1110402.6483263476,-2818522.6982225757,1,563.32983,30.946533,108.677025
989610.9559809369,-3438472.840221038,1,231.13638,43.354187,151.08734
-1239993.6743343514,-2819319.3089991,1,604.5661,47.017685,37.843826
-1406606.4946713832,-2667717.42584681,1,364.22525,79.22395,6.736708
850855.3485457874,-3909026.7134007225,1,78.116554,18.237656,344.02634
888892.441585683,-3520396.6255515623,1,290.36035,60.174213,346.04483
-1202554.6054008075,-2793181.745205973,1,583.80597,11.221723,111.42254
821756.7693241299,-3806555.1485532606,1,46.449368,18.07596,229.55435
-959671.9579034662,-2570310.455665308,1,353.65213,56.382324,187.39261
-662625.6337696642,-2439668.8964930763,1,333.2958,39.32846,8.917097
-1412195.8836204174,-3063137.995182694,1,451.47244,34.43589,50.27802
-1406606.4946713832,-2667717.42584681,1,364.22525,79.22395,6.736708
-1239993.6743343514,-2819319.3089991,1,604.5661,47.017685,37.843826
-1406606.4946713832,-2667717.42584681,1,364.22525,79.22395,6.736708
-1412195.8836204174,-3063137.995182694,1,451.47244,34.43589,50.27802
-812560.6302895222,-2492961.1858972777,1,335.1674,36.17434,113.25079
620152.4260150938,-3458590.705198459,1,690.42773,85.39538,220.6232
739338.5767532316,-3038564.741034668,1,30.128563,61.14767,228.2853
-470616.1848435215,-2096811.6853297579,1,330.07187,21.310736,123.95113
-966247.0067498945,-2750476.072243981,1,497.77917,12.948944,180.54373
-1193562.1668976336,-2343092.4644276067,1,246.6729,32.956676,221.36346
683421.0244583634,-2810700.65335458,1,37.841343,8.635473,1.8026826
-350778.71205708885,-2651361.8664870104,1,473.4385,2.5189419,16.099628
683421.0244583634,-2810700.65335458,1,37.841343,8.635473,1.8026826
-560358.2377670464,-2767931.830754391,0,467.3571,58.75938,301.0118
-681819.0984531427,-2897370.037364918,0,443.60446,33.25317,199.94794
-143169.08661185688,-2783006.416218804,0,687.7454,24.944374,41.363808
-1031541.5811075208,-2432517.6952541214,0,454.98108,70.9355,257.0802
-12546.106288104142,-2439179.6663583117,0,576.4749,9.630939,160.73901
-976505.0312168102,-3696070.010305465,0,152.7741,37.43281,72.691444
-1075152.7012903423,-3627663.0876606843,0,318.02493,75.53687,106.20412
485128.06365066784,-2160668.5665725847,0,288.5105,10.484515,58.251137
598021.4664470808,-2134910.8425281,0,250.29176,2.3874514,198.69356
-1089579.8830466834,-2396324.8774389867,0,370.10162,36.49236,27.505217
-423961.1074018731,-3492477.369570973,0,17.390053,6.8313127,186.9012
443023.5920096468,-2168898.441536288,0,266.45053,5.0599804,317.74142
-851030.2239591955,-2212715.7035146966,0,289.1124,7.65488,346.72064
1170673.609399819,-3480519.7081724736,0,90.85862,24.82312,20.788214
229752.23077022572,-2437303.0690539624,0,590.0176,20.786121,159.83646
425961.4532653374,-3620365.3308472163,0,237.87645,55.718365,210.70589
-1006691.8444269244,-2570847.45752372,0,410.98615,13.861718,195.08205
843325.9875784679,-2183883.0803926317,0,161.43503,46.163082,306.4181
-133945.67468067742,-3341474.629077319,0,119.01028,3.1451092,241.36343
-593566.1938225707,-3395987.6804475337,0,169.90253,8.166387,127.45446
-894995.6511766062,-2167798.498967712,0,192.94585,19.190315,263.21487
-76402.37481953792,-2942969.418206198,0,475.42953,34.66436,161.32617
-853335.4774383828,-2829232.5994718783,0,457.3905,30.469254,307.70523
-1443625.3525455007,-3270274.3351038983,0,308.83893,26.49312,162.76074
-711763.6213434859,-2752159.4705390115,0,444.47067,34.06609,207.54012
928066.9348419181,-2716794.1667847023,0,134.23059,48.597,247.06757
1128627.3134747017,-2637809.814398079,0,207.0163,22.593641,51.99032
-1045503.3208983529,-2663382.78568409,0,556.8505,48.619926,51.871758
160677.9247787047,-3291272.660468189,0,205.08566,19.95188,234.3665
-789635.0150117048,-2971756.670297763,0,492.70392,24.298635,59.47793
697195.1126682735,-2731329.510604144,0,82.66286,22.676798,290.23895
1021212.4853170638,-2716161.157978592,0,203.77344,14.8128,91.13444
966780.7744124252,-3949362.772851503,0,81.28223,63.65228,294.8447
-684264.6043234079,-3465797.9665640057,0,165.57976,35.201614,243.83199
761424.898485669,-3219514.754073481,0,9.808403,6.019472,31.464401
